,Species,Host
7741,Mycobacterium phage Halley,Mycolicibacterium smegmatis MC2 155
7742,Mycobacterium phage Melissauren88,Mycolicibacterium smegmatis MC2 155
7743,Mycobacterium phage Nemo27,Mycolicibacterium smegmatis MC2 155
7744,Mycobacterium phage Olive,Mycolicibacterium smegmatis MC2 155
7745,Mycobacterium phage Phish,Mycolicibacterium smegmatis MC2 155
7746,Mycobacterium phage TChen,Mycolicibacterium smegmatis MC2 155
7747,Aeromonas phage 13AhydR10PP,Aeromonas hydrophila
7748,Aeromonas phage 62AhydR11PP,Aeromonas hydrophila
7749,Aeromonas phage 50AhydR13PP,Aeromonas hydrophila
7750,Aeromonas phage 85AhydR10PP,Aeromonas hydrophila
7751,Aeromonas phage 14AhydR10PP,Aeromonas hydrophila
7752,Pseudomonas phage 98PfluR60PP,Pseudomonas fluorescens
7753,Aeromonas phage 60AhydR15PP,Aeromonas hydrophila
7754,Salmonella phage PMBT28,Salmonella enterica
7755,Synechococcus phage S-B64,Synechococcus sp. WH 8102
7756,Dickeya phage Sucellus,Dickeya dadantii
7757,Dickeya phage Amaethon,Dickeya dadantii
7758,Erwinia phage Cronus,Erwinia amylovora
7759,Pseudomonas phage Njord,Pseudomonas syringae pv. avii
7760,Pseudomonas phage Nerthus,Pseudomonas syringae pv. avii
7761,Pseudomonas phage Achelous,Pseudomonas syringae pv. avii
7762,Pseudomonas phage Alpheus,Pseudomonas syringae pv. avii
7763,Vibrio phage Rostov 6,Vibrio cholerae
7764,Burkholderia phage vB_BmuP_KL4,Burkholderia
7765,Enterobacteria phage vB_EcoS_IME18,Escherichia coli BL21(DE3)
7766,Enterobacteria phage vB_EcoS_IME167,Escherichia coli BL21(DE3)
7767,Enterobacteria phage vB_EcoM_IME281,Escherichia coli BL21(DE3)
7768,Enterobacteria phage vB_EcoM_IME338,Escherichia coli BL21(DE3)
7769,Enterobacteria phage vB_EcoM_IME339,Escherichia coli BL21(DE3)
7770,Enterobacteria phage vB_EcoM_IME340,Escherichia coli BL21(DE3)
7771,Enterobacteria phage vB_EcoM_IME341,Escherichia coli BL21(DE3)
7772,Enterobacteria phage vB_EcoS_IME347,Escherichia coli BL21(DE3)
7773,Xanthomonas phage Carpasina,Xanthomonas campestris
7774,Pectobacterium phage Jarilo,Pectobacterium carotovorum
7775,Pectobacterium phage Nepra,Pectobacterium atrosepticum
7776,Dickeya phage Ninurta,Dickeya solani
7777,Marinomonas phage YY,Marinomonas sp.
7778,Acinetobacter phage vB_AbaM_B9,Acinetobacter baumannii
7779,Mycobacterium phage PGHhamlin,Mycolicibacterium smegmatis MC2 155
7780,Pseudoalteromonas phage PHS21,Pseudoalteromonas marina DSM 17587
7781,Escherichia phage PP01,Escherichia
7782,Escherichia phage T2,Escherichia
7783,Bacillus phage BCP12,Bacillus cereus
7784,Bacteriophage sp.,Staphylococcus saprophyticus
7785,Staphylococcus phage JA1,Staphylococcus
7786,Staphylococcus phage B1,Staphylococcus
7787,Pseudoalteromonas virus vB_PspP-H6/1,Pseudoalteromonas sp. H6
7788,Pseudomonas phage PMBT14,Pseudomonas fluorescens
7789,Staphylococcus phage HYZ21,Staphylococcus aureus
7790,Mycobacterium virus Brujita,Unknown
7791,Enterobacteria phage YYZ-2008,Enterobacterales
7792,Pectobacterium phage PP101,Pectobacterium carotovorum
7793,Staphylococcus phage vB_SauM_0414_108,Staphylococcus aureus
7794,Pseudomonas phage vB_PaeP_130_113,Pseudomonas aeruginosa
7795,Escherichia phage ArgO145,Escherichia coli
7796,Clostridioides phage LIBA6276,Clostridioides difficile
7797,Clostridioides phage LIBA2945,Clostridioides difficile
7798,Salmonella phage Stp1,Salmonella
7799,Pectobacterium phage PP99,Pectobacterium carotovorum
7800,Citrobacter phage vB_CroM_CrRp10,Citrobacter rodentium
7801,Citrobacter phage vB_CroP_CrRp3,Citrobacter rodentium
7802,Pseudomonas phage uligo,Pseudomonas syringae pv. avii
7803,Mycobacterium phage ActinUp,Mycolicibacterium smegmatis MC2 155
7804,Mycobacterium phage Annyong,Mycolicibacterium smegmatis MC2 155
7805,Mycobacterium phage BigPhil,Mycolicibacterium smegmatis MC2 155
7806,Mycobacterium phage Boyle,Mycolicibacterium smegmatis MC2 155
7807,Mycobacterium phage Coog,Mycolicibacterium smegmatis MC2 155
7808,Mycobacterium phage DuchessDung,Mycolicibacterium smegmatis MC2 155
7809,Mycobacterium phage Fameo,Mycolicibacterium smegmatis MC2 155
7810,Mycobacterium phage GreedyLawyer,Mycolicibacterium smegmatis MC2 155
7811,Mycobacterium phage Jabiru,Mycolicibacterium smegmatis MC2 155
7812,Mycobacterium phage Leston,Mycolicibacterium smegmatis MC2 155
7813,Mycobacterium phage Midas2,Mycolicibacterium smegmatis MC2 155
7814,Mycobacterium phage OwlsT2W,Mycolicibacterium smegmatis MC2 155
7815,Mycobacterium phage SamScheppers,Mycolicibacterium smegmatis MC2 155
7816,Mycobacterium phage TNguyen7,Mycolicibacterium smegmatis MC2 155
7817,Mycobacterium phage InterFolia,Mycolicibacterium smegmatis MC2 155
7818,Mycobacterium phage Tyke,Mycolicibacterium smegmatis MC2 155
7819,Aeromonas phage AhSzq-1,Aeromonas hydrophila
7820,Aeromonas phage AhSzw-1,Aeromonas hydrophila
7821,Cyanophage 043001,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7822,Cyanophage 043003,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7823,Cyanophage 043009,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7824,Cyanophage 043010,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7825,Cyanophage 043012,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7826,Cyanophage 043014,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7827,Cyanophage 043016,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7828,Cyanophage 043019,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7829,Cyanophage 143001,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7830,Cyanophage 143003,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7831,Cyanophage 143005,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7832,Cyanophage 143007,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7833,Cyanophage 143008,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7834,Cyanophage 043006,Prochlorococcus marinus subsp. pastoris str. CCMP1986
7835,Enterobacter phage myPSH1140,Enterobacter cloacae
7836,Staphylococcus phage phiSA_BS2,Staphylococcus aureus
7837,Campylobacter phage CP39,Campylobacter jejuni
7838,Mycobacterium phage Cobra,Mycolicibacterium smegmatis MC2 155
7839,Mycobacterium phage Yahalom,Mycolicibacterium smegmatis MC2 155
7840,Microbacterium phage Bandik,Microbacterium foliorum
7841,Microbacterium phage BeeBee8,Microbacterium terrae
7842,Microbacterium phage BonaeVitae,Microbacterium paraoxydans
7843,Microbacterium phage BurtonThePup,Microbacterium foliorum
7844,Microbacterium phage Dave,Microbacterium foliorum
7845,Microbacterium phage Etna,Microbacterium foliorum
7846,Microbacterium phage Nagem,Microbacterium foliorum
7847,Microbacterium phage PaoPu,Microbacterium foliorum
7848,Microbacterium phage Raptor,Microbacterium foliorum
7849,Microbacterium phage Robinson,Microbacterium foliorum
7850,Microbacterium phage TeddyBear,Microbacterium foliorum
7851,Microbacterium phage Antoinette,Microbacterium foliorum
7852,Microbacterium phage Didgeridoo,Microbacterium foliorum
7853,Microbacterium phage Elva,Microbacterium foliorum
7854,Mycobacterium phage Schiebel,Mycolicibacterium smegmatis MC2 155
7855,Microbacterium phage Triscuit,Microbacterium foliorum
7856,Mycobacterium phage Puppy,Mycolicibacterium phlei
7857,Mycobacterium phage Pistachio,Mycolicibacterium phlei
7858,Mycobacterium phage MikeLiesIn,Mycolicibacterium smegmatis MC2 155
7859,Enterococcus phage Q69,Enterococcus
7860,Salmonella phage vB_SenS_PHB07,Salmonella sp.
7861,Salmonella phage vB_SenS_PHB06,Salmonella sp.
7862,Escherichia phage myPSH1131,Escherichia coli
7863,Siphoviridae environmental samples,Unknown
7864,Gokushovirinae environmental samples,Unknown
7865,Ralstonia phage RsoP1EGY,Ralstonia solanacearum
7866,Pectobacterium phage POP72,Pectobacterium carotovorum
7867,Pseudomonas phage PPSC2,Pseudomonas fluorescens
7868,Dickeya phage PP35,Dickeya solani
7869,Pseudomonas phage PAXYB1,Pseudomonas aeruginosa PAO1
7870,Yersinia phage fEV-1,Yersinia
7871,Ralstonia phage RsoM1USA,Ralstonia solanacearum
7872,Klebsiella phage myPSH1235,Klebsiella pneumoniae
7873,Escherichia phage myPSH2311,Escherichia coli
7874,Staphylococcus phage phiSA_BS1,Staphylococcus
7875,Streptomyces phage Yara,Streptomyces toxytricini
7876,Streptomyces phage Wentworth,Streptomyces griseus
7877,Mycobacterium phage Batiatus,Mycolicibacterium smegmatis MC2 155
7878,Mycobacterium phage GageAP,Mycolicibacterium smegmatis MC2 155
7879,Mycobacterium phage Jsquared,Mycolicibacterium smegmatis MC2 155
7880,Mycobacterium phage Lilith,Mycolicibacterium smegmatis MC2 155
7881,Mycobacterium phage Naca,Mycolicibacterium smegmatis MC2 155
7882,Mycobacterium phage SuperAwesome,Mycolicibacterium smegmatis MC2 155
7883,Gordonia phage Fenry,Gordonia terrae
7884,Mycobacterium phage Misha28,Mycolicibacterium smegmatis MC2 155
7885,Mycobacterium phage TootsiePop,Mycolicibacterium smegmatis MC2 155
7886,Mycobacterium phage Lopton,Mycolicibacterium smegmatis MC2 155
7887,Mycobacterium phage SgtBeansprout,Mycolicibacterium smegmatis MC2 155
7888,Mycobacterium phage SchoolBus,Mycolicibacterium smegmatis MC2 155
7889,Mycobacterium phage MPhalcon,Mycolicibacterium smegmatis MC2 155
7890,Mycobacterium phage Panamaxus,Mycolicibacterium smegmatis MC2 155
7891,Mycobacterium phage Skipitt,Mycolicibacterium smegmatis MC2 155
7892,Gordonia phage Hail2Pitt,Gordonia terrae
7893,Gordonia phage Djokovic,Gordonia terrae
7894,Mycobacterium phage Trypo,Mycolicibacterium smegmatis MC2 155
7895,Mycobacterium phage Megabear,Mycolicibacterium smegmatis MC2 155
7896,Mycobacterium phage Nilo,Mycolicibacterium smegmatis MC2 155
7897,Mycobacterium phage UncleRicky,Mycolicibacterium smegmatis MC2 155
7898,Mycobacterium phage MooMoo,Mycolicibacterium smegmatis MC2 155
7899,Mycobacterium phage Jeon,Mycolicibacterium smegmatis MC2 155
7900,Mycobacterium phage Nairb,Mycolicibacterium smegmatis MC2 155
7901,Mycobacterium phage Kheth,Mycolicibacterium smegmatis MC2 155
7902,Mycobacterium phage Adonis,Mycolicibacterium smegmatis MC2 155
7903,Mycobacterium phage Remy19,Mycolicibacterium smegmatis MC2 155
7904,Mycobacterium phage CLED96,Mycolicibacterium smegmatis MC2 155
7905,Streptomyces phage Nesbitt,Streptomyces lividans
7906,Mycobacterium phage Smeagol,Mycolicibacterium smegmatis MC2 155
7907,Mycobacterium phage KittenMittens,Mycolicibacterium smegmatis MC2 155
7908,Streptomyces phage Paedore,Streptomyces lividans
7909,Anoxybacillus phage A403,Anoxybacillus caldiproteolyticus
7910,Bacillus phage Anath,Bacillus mycoides
7911,Xanthomonas phage RiverRider,Xanthomonas fragariae
7912,Mycobacterium phage Fascinus,Mycolicibacterium smegmatis MC2 155
7913,Mycobacterium phage RiverMonster,Mycolicibacterium smegmatis MC2 155
7914,Microbacterium phage AlexAdler,Microbacterium foliorum
7915,Mycobacterium phage Alexphander,Mycolicibacterium smegmatis MC2 155
7916,Mycobacterium phage AltPhacts,Mycolicibacterium smegmatis MC2 155
7917,Mycobacterium phage BatteryCK,Mycolicibacterium smegmatis MC2 155
7918,Mycobacterium phage Deby,Mycobacterium
7919,Mycobacterium phage DoesntMatter,Mycolicibacterium smegmatis MC2 155
7920,Rhodococcus phage Finch,Rhodococcus erythropolis
7921,Microbacterium phage Gelo,Microbacterium foliorum
7922,Gordonia phage Gravy,Gordonia terrae
7923,Gordonia phage Kerry,Gordonia terrae
7924,Mycobacterium phage Kykar,Mycolicibacterium smegmatis MC2 155
7925,Mycobacterium phage LaterM,Mycolicibacterium smegmatis MC2 155
7926,Mycobacterium phage McGuire,Mycolicibacterium smegmatis MC2 155
7927,Mycobacterium phage Morrow,Mycolicibacterium smegmatis MC2 155
7928,Mycobacterium phage Paola,Mycolicibacterium smegmatis MC2 155
7929,Mycobacterium phage ProfessorX,Mycolicibacterium smegmatis MC2 155
7930,Mycobacterium phage Thumb,Mycolicibacterium smegmatis MC2 155
7931,Lactobacillus phage T25,Lactobacillus paracasei
7932,Streptococcus phage 7T,Streptococcus thermophilus
7933,Streptococcus phage A0,Streptococcus thermophilus
7934,Streptococcus phage 7A5,Streptococcus thermophilus
7935,Streptococcus phage 9A,Streptococcus thermophilus
7936,Streptococcus phage 9B4,Streptococcus thermophilus
7937,Streptococcus phage 16B8,Streptococcus thermophilus
7938,Streptococcus phage 31B4,Streptococcus thermophilus
7939,Streptococcus phage B0,Streptococcus thermophilus
7940,Streptococcus phage B5,Streptococcus thermophilus
7941,Streptococcus phage C0,Streptococcus thermophilus
7942,Streptococcus phage L5A1,Streptococcus thermophilus
7943,Streptococcus phage M19,Streptococcus thermophilus
7944,Streptococcus phage MM25,Streptococcus thermophilus
7945,Streptococcus phage R1,Streptococcus thermophilus
7946,Streptococcus phage STP1,Streptococcus thermophilus
7947,Streptococcus phage STP2,Streptococcus thermophilus
7948,Streptococcus phage V2,Streptococcus thermophilus
7949,Lactobacillus phage PM411,Lactobacillus plantarum
7950,Hamiltonella virus APSE1,Candidatus Hamiltonella
7951,Escherichia virus 933W,Escherichia
7952,Pseudoalteromonas phage PHS3,Pseudoalteromonas marina DSM 17587
7953,Pseudomonas phage GP100,Pseudomonas
7954,Poophage MBI-2016a,Unknown
7955,Pseudomonas phage vB_PaeS_C1,Pseudomonas aeruginosa
7956,Salmonella phage SE131,Salmonella enterica subsp. enterica serovar Enteritidis
7957,Mycobacterium phage NuevoMundo,Mycolicibacterium smegmatis MC2 155
7958,Mycobacterium phage Pier,Mycolicibacterium smegmatis MC2 155
7959,Gordonia phage SallySpecial,Gordonia terrae
7960,Pseudomonas phage vB_PaeM_LS1,Pseudomonas aeruginosa
7961,Lactobacillus phage P1174,Lactobacillus delbrueckii
7962,Mycobacterium phage Baloo,Mycolicibacterium smegmatis MC2 155
7963,Mycobacterium phage Bob3,Mycolicibacterium smegmatis MC2 155
7964,Microbacterium phage Bonino,Microbacterium foliorum
7965,Mycobacterium phage ChaChing,Mycolicibacterium smegmatis MC2 155
7966,Mycobacterium phage Chunky,Mycolicibacterium smegmatis MC2 155
7967,Mycobacterium phage Corvo,Mycolicibacterium smegmatis MC2 155
7968,Mycobacterium phage EpicPhail,Mycolicibacterium smegmatis MC2 155
7969,Mycobacterium phage Forsytheast,Mycolicibacterium smegmatis MC2 155
7970,Mycobacterium phage Ichabod,Mycolicibacterium smegmatis MC2 155
7971,Mycobacterium phage LeeLot,Mycolicibacterium smegmatis MC2 155
7972,Microbacterium phage Lucky3,Microbacterium foliorum
7973,Mycobacterium phage Megatron,Mycolicibacterium smegmatis MC2 155
7974,Mycobacterium phage Mendokysei,Mycolicibacterium smegmatis MC2 155
7975,Mycobacterium phage Mosaic,Mycolicibacterium smegmatis MC2 155
7976,Mycobacterium phage MPlant7149,Mycolicibacterium smegmatis MC2 155
7977,Microbacterium phage Nattles,Microbacterium foliorum
7978,Mycobacterium phage Nozo,Mycolicibacterium smegmatis MC2 155
7979,Mycobacterium phage Ogopogo,Mycolicibacterium smegmatis MC2 155
7980,Mycobacterium phage OlanP,Mycolicibacterium smegmatis MC2 155
7981,Mycobacterium phage OliverWalter,Mycolicibacterium smegmatis MC2 155
7982,Actinomyces phage xhp1,Schaalia odontolytica
7983,Microbacterium phage Pajaza,Microbacterium foliorum
7984,Mycobacterium phage Phacado,Mycolicibacterium smegmatis MC2 155
7985,Microbacterium phage PuppyEggo,Microbacterium foliorum
7986,Mycobacterium phage Ruotula,Mycolicibacterium smegmatis MC2 155
7987,Mycobacterium phage Scowl,Mycolicibacterium smegmatis MC2 155
7988,Microbacterium phage StingRay,Microbacterium foliorum
7989,Mycobacterium phage Wander,Mycolicibacterium smegmatis MC2 155
7990,Mycobacterium phage Xavier,Mycolicibacterium smegmatis MC2 155
7991,Microbacterium phage Casey,Microbacterium foliorum
7992,Escherichia phage PDX,Escherichia coli
7993,Klebsiella phage JY917,Klebsiella pneumoniae
7994,Mycobacterium phage Asriel,Mycolicibacterium smegmatis
7995,Mycobacterium phage Barbarian,Mycolicibacterium smegmatis
7996,Mycobacterium phage BeesKnees,Mycolicibacterium smegmatis MC2 155
7997,Gordonia phage Confidence,Gordonia terrae
7998,Mycobacterium phage Conquerage,Mycolicibacterium smegmatis MC2 155
7999,Mycobacterium phage Fajezeel,Mycolicibacterium smegmatis
8000,Mycobacterium phage Gage,Mycolicibacterium smegmatis
8001,Mycobacterium phage JangDynasty,Mycolicibacterium smegmatis MC2 155
8002,Mycobacterium phage Phonnegut,Mycolicibacterium smegmatis MC2 155
8003,Mycobacterium phage Priscilla,Mycolicibacterium smegmatis MC2 155
8004,Mycobacterium phage Scherzo,Mycolicibacterium smegmatis MC2 155
8005,Mycobacterium phage Sotrice96,Mycolicibacterium smegmatis
8006,Mycobacterium phage LifeSavor,Mycolicibacterium smegmatis MC2 155
8007,Alteromonadaceae phage B23,Alteromonadaceae
8008,Salmonella phage BSP22A,Salmonella enterica
8009,Salmonella phage BSP101,Salmonella enterica
8010,Pectobacterium phage vB_PatP_CB4,Pectobacterium atrosepticum
8011,Salmonella phage BSPM4,Salmonella enterica subsp. enterica serovar Typhimurium
8012,Pectobacterium phage vB_PatM_CB7,Pectobacterium atrosepticum
8013,Pectobacterium phage vB_PatP_CB1,Pectobacterium atrosepticum
8014,Pectobacterium phage vB_PatP_CB3,Pectobacterium atrosepticum
8015,Ralstonia phage RsoP1IDN,Ralstonia solanacearum
8016,Shigella phage SFN6B,Shigella flexneri
8017,Vibrio phage Rostov-1,Vibrio cholerae
8018,Lactobacillus phage Maenad,Lactobacillus plantarum
8019,Pseudomonas phage phiNV3,Pseudomonas agarici
8020,Staphylococcus phage phiSA039,Staphylococcus
8021,Sinorhizobium phage HMSP1-Susan,Sinorhizobium meliloti
8022,Shigella phage SSP1,Shigella sonnei
8023,Lactococcus phage LP0004a,Lactococcus lactis
8024,Lactococcus phage LP8511,Lactococcus lactis
8025,Lactococcus phage LP9104,Lactococcus lactis
8026,Lactococcus phage LP9205a,Lactococcus lactis
8027,Lactococcus phage LP9205b,Lactococcus lactis
8028,Lactococcus phage LP9206a,Lactococcus lactis
8029,Lactococcus phage LP9206b,Lactococcus lactis
8030,Lactococcus phage LP9206c,Lactococcus lactis
8031,Lactococcus phage LP9207,Lactococcus lactis
8032,Lactococcus phage LP9210,Lactococcus lactis
8033,Lactococcus phage LP9404,Lactococcus lactis
8034,Lactococcus phage LP9405a,Lactococcus lactis
8035,Lactococcus phage LP9405b,Lactococcus lactis
8036,Lactococcus phage LP9406,Lactococcus lactis
8037,Lactococcus phage LP9609,Lactococcus lactis
8038,Lactococcus phage LP9701,Lactococcus lactis
8039,Lactococcus phage LP9801,Lactococcus lactis
8040,Lactococcus phage LP9903,Lactococcus lactis
8041,Lactococcus phage LP9908,Lactococcus lactis
8042,Lactococcus phage LP0004b,Lactococcus lactis
8043,Lactococcus phage LP0004c,Lactococcus lactis
8044,Lactococcus phage LP0004d,Lactococcus lactis
8045,Lactococcus phage LP0109,Lactococcus lactis
8046,Lactococcus phage LP0202,Lactococcus lactis
8047,Lactococcus phage LP0209,Lactococcus lactis
8048,Lactococcus phage LP0212,Lactococcus lactis
8049,Lactococcus phage LP0304,Lactococcus lactis
8050,Lactococcus phage LP0509,Lactococcus lactis
8051,Lactococcus phage LP0604,Lactococcus lactis
8052,Lactococcus phage LP0903,Lactococcus lactis
8053,Lactococcus phage LP1005,Lactococcus lactis
8054,Lactococcus phage LP1011,Lactococcus lactis
8055,Lactococcus phage LP1110,Lactococcus lactis
8056,Lactococcus phage LP1407,Lactococcus lactis
8057,Lactococcus phage LP1502a,Lactococcus lactis subsp. lactis Il1403
8058,Lactococcus phage LP1502b,Lactococcus lactis subsp. lactis Il1403
8059,Lactococcus phage LP1502c,Lactococcus lactis subsp. lactis Il1403
8060,Pseudomonas virus D3112,Unknown
8061,Bacteriophage T5-like chee24,Unknown
8062,Bacteriophage T5-like pork27,Unknown
8063,Bacteriophage T5-like pork29,Unknown
8064,Bacteriophage T5-like saus47N,Unknown
8065,Bacteriophage T5-like saus111K,Unknown
8066,Bacteriophage T5-like poul124,Unknown
8067,Bacteriophage T5-like chee130_1,Unknown
8068,Bacteriophage T5-like saus132,Unknown
8069,Bacteriophage T5-like poul149,Unknown
8070,Bacteriophage T5-like chee158,Unknown
8071,Bacteriophage T5-like cott162,Unknown
8072,Bacteriophage T5-like saus176N,Unknown
8073,Escherichia phage GER2,Escherichia coli
8074,Gordonia phage Adgers,Gordonia terrae
8075,Gordonia phage Boneham,Gordonia terrae
8076,Mycobacterium phage Cuke,Mycolicibacterium smegmatis
8077,Gordonia phage Flapper,Gordonia terrae
8078,Mycobacterium phage HighStump,Mycolicibacterium smegmatis MC2 155
8079,Mycobacterium phage Kimchi,Mycolicibacterium smegmatis
8080,Mycobacterium phage LugYA,Mycolicibacterium smegmatis
8081,Mycobacterium phage Opia,Mycolicibacterium smegmatis MC2 155
8082,Streptomyces phage OzzyJ,Streptomyces lividans
8083,Mycobacterium phage PhenghisKhan,Mycolicibacterium smegmatis MC2 155
8084,Gordonia phage SuperSulley,Gordonia terrae
8085,Mycobacterium phage Tesla,Mycolicibacterium smegmatis MC2 155
8086,Escherichia phage Jp6,Escherichia coli
8087,Escherichia phage EcS1,Escherichia coli
8088,Gokushovirus MK-2017,Unknown
8089,Propionibacterium phage pa310,Cutibacterium acnes
8090,Propionibacterium phage pa59,Cutibacterium acnes
8091,Propionibacterium phage pa27,Cutibacterium acnes
8092,Propionibacterium phage pa29399-1-D_1,Cutibacterium acnes
8093,Propionibacterium phage pa29399-1-D_2,Cutibacterium acnes
8094,Propionibacterium phage pa63,Cutibacterium acnes
8095,Propionibacterium phage pa6919-4,Cutibacterium acnes
8096,Propionibacterium phage pa9-6919-4,Cutibacterium acnes
8097,Propionibacterium phage pa15,Cutibacterium acnes
8098,Propionibacterium phage pa615,Cutibacterium acnes
8099,Propionibacterium phage pa28,Cutibacterium acnes
8100,Propionibacterium phage pa35,Cutibacterium acnes
8101,Propionibacterium phage pa33,Cutibacterium acnes
8102,Propionibacterium phage pa3-SS3,Cutibacterium acnes
8103,Pseudomonas phage vB_PaeP_PYO2,Pseudomonas
8104,Pseudomonas phage vB_PaeP_E220,Pseudomonas
8105,Pseudomonas phage vB_PaeP_DEV,Pseudomonas
8106,Pseudomonas phage vB_PaeS_S218,Pseudomonas
8107,Mycobacterium phage Acme,Mycolicibacterium smegmatis
8108,Mycobacterium phage Frankie,Mycolicibacterium phlei
8109,Mycobacterium phage Greg,Mycolicibacterium smegmatis
8110,Mycobacterium phage Holeinone,Mycolicibacterium smegmatis MC2 155
8111,Mycobacterium phage ItsyBitsy1,Mycolicibacterium smegmatis MC2 155
8112,Mycobacterium phage Lambert1,Mycolicibacterium smegmatis
8113,Mycobacterium phage Pippin,Mycolicibacterium smegmatis
8114,Mycobacterium phage RagingRooster,Mycolicibacterium smegmatis MC2 155
8115,Microbacterium phage AxiPup,Microbacterium foliorum
8116,Microbacterium phage Baines,Microbacterium foliorum
8117,Microbacterium phage Espinosa,Microbacterium foliorum
8118,Microbacterium phage Kale,Microbacterium foliorum
8119,Microbacterium phage Knox,Microbacterium foliorum
8120,Microbacterium phage Ludgate,Microbacterium foliorum
8121,Microbacterium phage Peep,Microbacterium foliorum
8122,Microbacterium phage Peppino,Microbacterium foliorum
8123,Microbacterium phage Raccoon,Microbacterium foliorum
8124,Microbacterium phage Superfresh,Microbacterium foliorum
8125,Microbacterium phage Tenda,Microbacterium foliorum
8126,Microbacterium phage Balsa,Microbacterium foliorum
8127,Escherichia phage YZ1,Escherichia coli
8128,Mycobacterium phage Roosevelt,Mycolicibacterium smegmatis
8129,Agrobacterium phage Atu_ph02,Agrobacterium tumefaciens
8130,Agrobacterium phage Atu_ph03,Agrobacterium tumefaciens
8131,Agrobacterium phage Atu_ph04,Agrobacterium tumefaciens
8132,Agrobacterium phage Atu_ph08,Agrobacterium tumefaciens
8133,Escherichia phage PGN28,Escherichia coli
8134,Escherichia phage PGN829,Escherichia coli
8135,Shigella phage Sf19,Shigella flexneri
8136,Faecalibacterium phage FP_Lagaffe,Faecalibacterium prausnitzii
8137,Faecalibacterium phage FP_Epona,Faecalibacterium prausnitzii
8138,Faecalibacterium phage FP_oengus,Faecalibacterium prausnitzii
8139,Faecalibacterium phage FP_Lugh,Faecalibacterium prausnitzii
8140,Faecalibacterium phage FP_Brigit,Faecalibacterium prausnitzii
8141,Faecalibacterium phage FP_Toutatis,Faecalibacterium prausnitzii
8142,Faecalibacterium phage FP_Taranis,Faecalibacterium prausnitzii
8143,Staphylococcus phage vB_SauM_LM12,Staphylococcus
8144,Erwinia phage vB_EamP-S2,Erwinia amylovora
8145,Lactobacillus phage Satyr,Lactobacillus plantarum
8146,Klebsiella phage KP1,Klebsiella pneumoniae
8147,Bacillus phage HonestAbe,Bacillus thuringiensis
8148,Escherichia phage PMBT57,Escherichia coli
8149,Klebsiella virus vB_KpnM_KpS110,Klebsiella pneumoniae
8150,Staphylococcus phage SH-St 15644,Staphylococcus aureus
8151,Lactobacillus phage Bassarid,Lactobacillus plantarum
8152,Lactobacillus phage Nyseid,Lactobacillus plantarum
8153,Lactobacillus phage Bacchae,Lactobacillus plantarum
8154,Lactobacillus phage Semele,Lactobacillus plantarum
8155,Gordonia phage Flakey,Gordonia terrae
8156,Mycobacterium phage Haimas,Mycolicibacterium smegmatis MC2 155
8157,Mycobacterium phage OldBen,Mycolicibacterium smegmatis MC2 155
8158,Gordonia phage SteveFrench,Gordonia terrae
8159,Mycobacterium phage Rem711,Mycolicibacterium smegmatis MC2 155
8160,Escherichia phage vB_EcoM-fFiEco06,Escherichia coli
8161,Escherichia phage vB_EcoM-fHoEco02,Escherichia coli
8162,Pontimonas phage phiPsal1,Pontimonas salivibrio
8163,Klebsiella phage SH-Kp 152410,Klebsiella pneumoniae
8164,Faecalibacterium phage FP_Mushu,Faecalibacterium prausnitzii
8165,Gordonia phage Beenie,Gordonia terrae
8166,Pseudomonas phage Henninger,Pseudomonas
8167,Pseudomonas phage Littlefix,Pseudomonas
8168,Mycobacterium phage SWU2,Mycolicibacterium smegmatis MC2 155
8169,Escherichia phage HZ2R8,Escherichia coli
8170,Klebsiella phage KPN N98,Klebsiella pneumoniae
8171,Shigella phage Sf25,Shigella flexneri
8172,Shigella phage Sf20,Shigella boydii
8173,Mycobacterium virus Omega,Unknown
8174,Escherichia phage RDN37,Escherichia coli
8175,Erwinia phage EtG,Erwinia tracheiphila
8176,Enterobacteria phage T2,Enterobacterales
8177,Pseudoalteromonas phage TW1,Pseudoalteromonas
8178,Staphylococcus virus 80alpha,Unknown
8179,Mycobacterium phage B1,Mycobacterium
8180,Mycobacterium phage PP,Mycobacterium
8181,Mycobacterium phage HC,Mycobacterium
8182,Vibrio phage Ares1,Vibrio alginolyticus
8183,Bacillus phage Carmen17,Bacillus thuringiensis
8184,Vibrio phage 1.003.O._10N.286.48.A2,Vibrio lentus
8185,Vibrio phage 1.004.O._10N.261.54.A2,Vibrio lentus
8186,Vibrio phage 1.005.O._10N.286.48.F2,Vibrio splendidus
